event_id,state,district,disaster_type,pre_post,sensor,product_id,product_name,acquisition_date,processing_level,source,source_url,crs,resolution,width,height,bounds,cloud_percentage,valid_pixel_percentage,file_path,file_size_mb,sha256,qc_status,notes
TN_GAJA_2018,Tamil Nadu,Nagapattinam,cyclones,PRE,Sentinel-1,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20181108T003213_20181108T003238_024489_02AF7A_4E6C,S1A_IW_GRDH_1SDV_20181108T003213_20181108T003238_024489_02AF7A_4E6C,2018-11-08,GRD,GEE,https://earthengine.googleapis.com,EPSG:32644,10.0,1647,1666,"BoundingBox(left=365230.0, bottom=1181970.0, right=381700.0, top=1198630.0)",N/A,100.0,data/tamil_nadu/processed/TN_GAJA_2018/sentinel1/TN_GAJA_2018_S1_PRE.tif,20.94,dc90d8606057bd67d205e4d05b77703c7fbf5b4e835a208774bb642984c779ab,PASS,Standard verification clean
TN_GAJA_2018,Tamil Nadu,Nagapattinam,cyclones,POST,Sentinel-1,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20181120T003213_20181120T003238_024664_02B5ED_EB05,S1A_IW_GRDH_1SDV_20181120T003213_20181120T003238_024664_02B5ED_EB05,2018-11-20,GRD,GEE,https://earthengine.googleapis.com,EPSG:32644,10.0,1647,1666,"BoundingBox(left=365230.0, bottom=1181970.0, right=381700.0, top=1198630.0)",N/A,100.0,data/tamil_nadu/processed/TN_GAJA_2018/sentinel1/TN_GAJA_2018_S1_POST.tif,20.94,55b1273a28659a0e46a535e3c6cf14d79a2c5e5feda391117b3488730109b9d7,PASS,Standard verification clean
TN_NIVAR_2020,Tamil Nadu,Cuddalore,cyclones,PRE,Sentinel-1,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20201121T003206_20201121T003231_035339_0420EC_F580,S1A_IW_GRDH_1SDV_20201121T003206_20201121T003231_035339_0420EC_F580,2020-11-21,GRD,GEE,https://earthengine.googleapis.com,EPSG:32644,10.0,1643,1667,"BoundingBox(left=357910.0, bottom=1290650.0, right=374340.0, top=1307320.0)",N/A,99.55,data/tamil_nadu/raw/TN_NIVAR_2020/sentinel1/TN_NIVAR_2020_S1_PRE.tif,18.08,0cdbe473e6947957014fc685fa1acf83525f756bbc584a64b75ab4b13b8cb92e,PASS,Standard verification clean
TN_NIVAR_2020,Tamil Nadu,Cuddalore,cyclones,POST,Sentinel-1,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20201203T003206_20201203T003231_035514_0426F6_0C55,S1A_IW_GRDH_1SDV_20201203T003206_20201203T003231_035514_0426F6_0C55,2020-12-03,GRD,GEE,https://earthengine.googleapis.com,EPSG:32644,10.0,1643,1667,"BoundingBox(left=357910.0, bottom=1290650.0, right=374340.0, top=1307320.0)",N/A,99.54,data/tamil_nadu/raw/TN_NIVAR_2020/sentinel1/TN_NIVAR_2020_S1_POST.tif,18.17,04d8d4b6ee3a086484facc444931a6f9bcf75b1ff136e1d70ca8881a53bd7f10,PASS,Standard verification clean
TN_NIVAR_2020,Tamil Nadu,Cuddalore,cyclones,PRE,Sentinel-2,COPERNICUS/S2_SR_HARMONIZED/20201101T045941_20201101T051109_T44PLU,20201101T045941_20201101T051109_T44PLU,2020-11-01,L2A,GEE,https://earthengine.googleapis.com,EPSG:32644,10.0,1643,1667,"BoundingBox(left=357910.0, bottom=1290650.0, right=374340.0, top=1307320.0)",2.540139,99.98,data/tamil_nadu/raw/TN_NIVAR_2020/sentinel2/TN_NIVAR_2020_S2_PRE.tif,15.59,1e144107e7bc78f8e977175374300d1aa4c9f903cbda6b750b9d026995cec5cf,PASS,Standard verification clean
TN_NIVAR_2020,Tamil Nadu,Cuddalore,cyclones,POST,Sentinel-2,COPERNICUS/S2_SR_HARMONIZED/20201211T050211_20201211T050209_T44PLT,20201211T050211_20201211T050209_T44PLT,2020-12-11,L2A,GEE,https://earthengine.googleapis.com,EPSG:32644,10.0,1643,1667,"BoundingBox(left=357910.0, bottom=1290650.0, right=374340.0, top=1307320.0)",6.473631,56.21,data/tamil_nadu/raw/TN_NIVAR_2020/sentinel2/TN_NIVAR_2020_S2_POST.tif,8.64,4e9efab9ee37571a902376b3f1d3210bebf365652b04942b275ce2f70b3edca2,PASS,Standard verification clean
TN_NIVAR_2020,Tamil Nadu,Cuddalore,cyclones,PRE,Sentinel-1,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20201121T003206_20201121T003231_035339_0420EC_F580,S1A_IW_GRDH_1SDV_20201121T003206_20201121T003231_035339_0420EC_F580,2020-11-21,GRD,GEE,https://earthengine.googleapis.com,EPSG:32644,10.0,1643,1667,"BoundingBox(left=357910.0, bottom=1290650.0, right=374340.0, top=1307320.0)",N/A,99.55,data/tamil_nadu/processed/TN_NIVAR_2020/sentinel1/TN_NIVAR_2020_S1_PRE.tif,20.91,a03dce973dbda654f03b30b41d68550c33596bcac247f3f2d11bec40dfc30fca,PASS,Standard verification clean
TN_NIVAR_2020,Tamil Nadu,Cuddalore,cyclones,POST,Sentinel-1,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20201203T003206_20201203T003231_035514_0426F6_0C55,S1A_IW_GRDH_1SDV_20201203T003206_20201203T003231_035514_0426F6_0C55,2020-12-03,GRD,GEE,https://earthengine.googleapis.com,EPSG:32644,10.0,1643,1667,"BoundingBox(left=357910.0, bottom=1290650.0, right=374340.0, top=1307320.0)",N/A,99.54,data/tamil_nadu/processed/TN_NIVAR_2020/sentinel1/TN_NIVAR_2020_S1_POST.tif,20.91,08afeb39b5720fc1161679ef20daaabbda005969b34993badb5ac6b5260cbf59,PASS,Standard verification clean
TN_NIVAR_2020,Tamil Nadu,Cuddalore,cyclones,PRE,Sentinel-2,COPERNICUS/S2_SR_HARMONIZED/20201101T045941_20201101T051109_T44PLU,20201101T045941_20201101T051109_T44PLU,2020-11-01,L2A,GEE,https://earthengine.googleapis.com,EPSG:32644,10.0,1643,1667,"BoundingBox(left=357910.0, bottom=1290650.0, right=374340.0, top=1307320.0)",2.540139,99.98,data/tamil_nadu/processed/TN_NIVAR_2020/sentinel2/TN_NIVAR_2020_S2_PRE.tif,20.91,568679112d512c1da80c6933facab4a6fe230a1e1d4c084e72e7ec56fe640959,PASS,Standard verification clean
TN_NIVAR_2020,Tamil Nadu,Cuddalore,cyclones,POST,Sentinel-2,COPERNICUS/S2_SR_HARMONIZED/20201211T050211_20201211T050209_T44PLT,20201211T050211_20201211T050209_T44PLT,2020-12-11,L2A,GEE,https://earthengine.googleapis.com,EPSG:32644,10.0,1643,1667,"BoundingBox(left=357910.0, bottom=1290650.0, right=374340.0, top=1307320.0)",6.473631,56.21,data/tamil_nadu/processed/TN_NIVAR_2020/sentinel2/TN_NIVAR_2020_S2_POST.tif,20.91,57fe5d573726f386c3911b8479e1ddd758e0781e69185dfe7aec581aea5023ba,PASS,Standard verification clean
TN_MICHAUNG_2023,Tamil Nadu,Chennai,extreme rainfall,PRE,Sentinel-1,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20231130T003201_20231130T003226_051439_06353D_343D,S1A_IW_GRDH_1SDV_20231130T003201_20231130T003226_051439_06353D_343D,2023-11-30,GRD,GEE,https://earthengine.googleapis.com,EPSG:32644,10.0,1632,1665,"BoundingBox(left=412780.0, bottom=1438070.0, right=429100.0, top=1454720.0)",N/A,100.0,data/tamil_nadu/raw/TN_MICHAUNG_2023/sentinel1/TN_MICHAUNG_2023_S1_PRE.tif,18.56,a3c5bd7a88475ae29df7404e5b8eeb9142a683e2279d51a320341064db638e7d,PASS,Standard verification clean
TN_MICHAUNG_2023,Tamil Nadu,Chennai,extreme rainfall,POST,Sentinel-1,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20240117T003158_20240117T003223_052139_064D5D_F7B4,S1A_IW_GRDH_1SDV_20240117T003158_20240117T003223_052139_064D5D_F7B4,2024-01-17,GRD,GEE,https://earthengine.googleapis.com,EPSG:32644,10.0,1632,1665,"BoundingBox(left=412780.0, bottom=1438070.0, right=429100.0, top=1454720.0)",N/A,100.0,data/tamil_nadu/raw/TN_MICHAUNG_2023/sentinel1/TN_MICHAUNG_2023_S1_POST.tif,18.44,f6adf57267e7a796ecaec172ff2c13a4002879b126d785a8bf1b2d77a54518e8,PASS,Standard verification clean
TN_MICHAUNG_2023,Tamil Nadu,Chennai,extreme rainfall,PRE,Sentinel-1,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20231130T003201_20231130T003226_051439_06353D_343D,S1A_IW_GRDH_1SDV_20231130T003201_20231130T003226_051439_06353D_343D,2023-11-30,GRD,GEE,https://earthengine.googleapis.com,EPSG:32644,10.0,1632,1665,"BoundingBox(left=412780.0, bottom=1438070.0, right=429100.0, top=1454720.0)",N/A,100.0,data/tamil_nadu/processed/TN_MICHAUNG_2023/sentinel1/TN_MICHAUNG_2023_S1_PRE.tif,20.74,e8a50044527fd0d697bf91e0d4f72c3933d7407a36b7614c8292c95325c2d522,PASS,Standard verification clean
TN_MICHAUNG_2023,Tamil Nadu,Chennai,extreme rainfall,POST,Sentinel-1,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20240117T003158_20240117T003223_052139_064D5D_F7B4,S1A_IW_GRDH_1SDV_20240117T003158_20240117T003223_052139_064D5D_F7B4,2024-01-17,GRD,GEE,https://earthengine.googleapis.com,EPSG:32644,10.0,1632,1665,"BoundingBox(left=412780.0, bottom=1438070.0, right=429100.0, top=1454720.0)",N/A,100.0,data/tamil_nadu/processed/TN_MICHAUNG_2023/sentinel1/TN_MICHAUNG_2023_S1_POST.tif,20.74,c410b488f48a275848cd487723c4568e34bb87db37081219ada30d42b2713ec7,PASS,Standard verification clean
