properties,building_id,total_pixels,valid_pixels,valid_pixel_pct,mean_pre_vv,mean_post_vv,mean_change_vv,median_change_vv,std_change_vv,mean_pre_vh,mean_post_vh,mean_change_vh,median_change_vh,std_change_vh,damage_label,label_type,source_label
"{'osm_id': 339687732, 'osm_type': 'commercial'}",cuddalore_bld_000016,6,6,100.0,-0.6194173494974772,1.7727168401082356,2.392134189605713,3.3656930923461914,2.4121683718986215,-3.8145163853963218,-4.181590716044108,-0.3670744101206462,-0.2751937508583069,2.367305291543933,unlabeled,unlabeled,
"{'osm_id': 360850957, 'osm_type': 'yes'}",cuddalore_bld_000017,11,11,100.0,-6.011742331764915,-3.3360110196200283,2.675730965354226,3.50703763961792,1.909432067779163,-12.252892234108664,-8.701711481267756,3.5511804060502485,2.6135482788085938,2.103161193983486,unlabeled,unlabeled,
"{'osm_id': 360855002, 'osm_type': 'yes'}",cuddalore_bld_000018,8,8,100.0,-8.754002571105957,-8.90349006652832,-0.1494879126548767,-0.3404791355133056,1.0909033527227583,-13.11817455291748,-14.967601776123049,-1.8494278192520144,-0.9412879943847656,3.158316813414186,unlabeled,unlabeled,
"{'osm_id': 360855003, 'osm_type': 'yes'}",cuddalore_bld_000019,9,9,100.0,-7.888402303059896,-7.904665629069011,-0.0162632995181613,0.1918439865112304,3.1813919475559604,-15.263487074110245,-14.523174709743923,0.7403120464748807,-0.0093879699707031,2.629803195431994,unlabeled,unlabeled,
"{'osm_id': 360855004, 'osm_type': 'yes'}",cuddalore_bld_000020,26,26,100.0,-8.324598459097055,-9.30249551626352,-0.9778977907620944,-0.5571451187133789,3.4551517837083945,-14.480025071364183,-13.13144742525541,1.3485789665809045,0.7941365242004395,4.264478899029716,unlabeled,unlabeled,
"{'osm_id': 360855005, 'osm_type': 'yes'}",cuddalore_bld_000021,10,10,100.0,-3.5229034423828125,-2.519178771972656,1.0037247657775878,2.2376725673675537,3.192744150729584,-10.578816223144532,-9.304981231689451,1.273836040496826,-1.233470439910889,3.7880429057662943,unlabeled,unlabeled,
"{'osm_id': 360855006, 'osm_type': 'yes'}",cuddalore_bld_000022,7,7,100.0,-7.218047550746372,-4.126188005719866,3.09185927254813,3.58957576751709,2.3192202312593606,-11.83246067592076,-12.322525024414062,-0.4900655746459961,-1.5260334014892578,2.1358120478576237,unlabeled,unlabeled,
"{'osm_id': 360855007, 'osm_type': 'yes'}",cuddalore_bld_000023,8,8,100.0,-2.607060432434082,-1.6672614812850952,0.9397990703582764,0.9321264624595642,2.897662041671057,-10.644979476928713,-6.859912872314453,3.785066604614258,4.581913948059082,3.011854687181139,unlabeled,unlabeled,
"{'osm_id': 360855008, 'osm_type': 'yes'}",cuddalore_bld_000024,6,6,100.0,-8.109374364217123,-6.513144175211589,1.596230189005534,1.7554206848144531,0.9209216828782724,-17.697921752929688,-11.91754150390625,5.7803802490234375,6.4329142570495605,2.9250520669113524,unlabeled,unlabeled,
"{'osm_id': 360855009, 'osm_type': 'yes'}",cuddalore_bld_000025,2,2,100.0,-8.603962898254395,-7.783113479614258,0.8208498954772949,0.8208498954772949,0.4771265983581543,-14.17897605895996,-15.198684692382812,-1.0197081565856934,-1.0197081565856934,0.6320433616638184,unlabeled,unlabeled,
"{'osm_id': 360855010, 'osm_type': 'yes'}",cuddalore_bld_000026,4,4,100.0,-5.3242058753967285,-4.072314739227295,1.2518912553787231,1.8111422061920168,2.55330387238172,-5.560820579528809,-1.5439857244491575,4.0168352127075195,4.283324241638184,0.9920755688446082,unlabeled,unlabeled,
"{'osm_id': 360855011, 'osm_type': 'yes'}",cuddalore_bld_000027,9,9,100.0,-7.377508375379774,-8.017953660753038,-0.640445868174235,0.2934346199035644,3.420181844055068,-17.17420111762153,-12.611000061035156,4.5631997850206165,5.962122917175293,4.624919189252384,unlabeled,unlabeled,
"{'osm_id': 360855012, 'osm_type': 'yes'}",cuddalore_bld_000028,3,3,100.0,-1.2956600189208984,1.27078644434611,2.566446304321289,2.0756211280822754,1.0208860705865148,-5.919802347819011,-7.388357798258464,-1.4685551325480144,-1.4436960220336914,1.4119516121939764,unlabeled,unlabeled,
"{'osm_id': 360855013, 'osm_type': 'yes'}",cuddalore_bld_000029,5,5,100.0,-2.117426300048828,-1.746140289306641,0.3712860107421875,1.4079481363296509,1.6842978386042775,-9.587619018554689,-8.796650695800782,0.7909684181213379,0.6519184112548828,3.5075088276574564,unlabeled,unlabeled,
"{'osm_id': 360855014, 'osm_type': 'yes'}",cuddalore_bld_000030,4,4,100.0,6.248195648193359,7.777174949645996,1.5289793014526367,2.798644542694092,3.743187023176578,-4.013714790344238,-0.4067911505699157,3.606923103332519,3.351585149765014,2.437968771650391,unlabeled,unlabeled,
"{'osm_id': 360855015, 'osm_type': 'yes'}",cuddalore_bld_000031,8,8,100.0,-2.678893804550171,-0.4423611164093017,2.236532688140869,3.3542189598083496,2.969322706792059,-6.890344142913818,-2.8417978286743164,4.04854679107666,3.7810020446777344,1.353101747045594,unlabeled,unlabeled,
"{'osm_id': 360856282, 'osm_type': 'yes'}",cuddalore_bld_000032,6,6,100.0,-3.2676032384236655,-1.679028828938802,1.5885745684305828,1.663341999053955,2.498268394519535,-11.105289459228516,-8.42447026570638,2.680818557739258,2.7563161849975586,3.3802350964494488,unlabeled,unlabeled,
"{'osm_id': 360856283, 'osm_type': 'yes'}",cuddalore_bld_000033,9,9,100.0,-1.441645410325792,-2.5173036787245007,-1.0756583743625217,-1.3470590114593506,3.5660857747268517,-10.435551113552515,-10.19980197482639,0.2357488738165961,0.6222043037414551,2.649683976680207,unlabeled,unlabeled,
"{'osm_id': 360856284, 'osm_type': 'yes'}",cuddalore_bld_000034,5,5,100.0,-4.086767578125,0.1170851707458496,4.203852844238281,3.056772232055664,2.165603444635028,-9.158138275146484,-8.816021728515626,0.3421165466308594,0.3355684280395508,4.884961780927498,unlabeled,unlabeled,
"{'osm_id': 360856285, 'osm_type': 'yes'}",cuddalore_bld_000035,6,6,100.0,-5.774833043416341,-5.513964970906575,0.2608678340911865,-0.0396997928619384,1.5448665228937488,-12.685708363850912,-12.248878479003906,0.4368311564127604,0.1890807151794433,3.927211878447054,unlabeled,unlabeled,
"{'osm_id': 360856286, 'osm_type': 'yes'}",cuddalore_bld_000036,6,6,100.0,-8.141195933024088,-5.073107083638509,3.068089167277018,2.5834150314331055,2.854732654690937,-13.510687510172524,-12.753021240234377,0.7576656341552734,1.5043659210205078,1.8681582512857349,unlabeled,unlabeled,
"{'osm_id': 360856287, 'osm_type': 'yes'}",cuddalore_bld_000037,4,4,100.0,-7.713695049285889,-5.639442443847656,2.0742526054382324,1.8403191566467283,2.734528638090876,-11.550397872924805,-10.106730461120604,1.4436676502227783,1.766538143157959,0.8210114430122277,unlabeled,unlabeled,
"{'osm_id': 360856288, 'osm_type': 'yes'}",cuddalore_bld_000038,14,14,100.0,-3.372605187552316,-0.2240900652749198,3.148515428815569,3.81656265258789,4.017322384860718,-10.178146362304688,-8.735658918108259,1.4424871717180523,1.748141527175903,2.2233579059149053,unlabeled,unlabeled,
"{'osm_id': 360856289, 'osm_type': 'yes'}",cuddalore_bld_000039,5,5,100.0,-2.7854934692382813,-2.1953365325927736,0.5901567935943604,-1.4904236793518066,4.63724136668419,-11.891009521484374,-11.577508544921876,0.3135009765625,0.1769113540649414,2.0227639452881188,unlabeled,unlabeled,
"{'osm_id': 360856290, 'osm_type': 'yes'}",cuddalore_bld_000040,8,8,100.0,-3.56139612197876,1.5660996437072754,5.127495765686035,3.925018310546875,4.368663037553965,-15.613502502441406,-9.96911907196045,5.644382476806641,4.183428764343262,6.451106534076228,unlabeled,unlabeled,
"{'osm_id': 360856291, 'osm_type': 'yes'}",cuddalore_bld_000041,7,7,100.0,-5.671257019042969,0.4649280139378139,6.1361846923828125,6.927728652954102,3.006179209552108,-12.147693089076451,-7.790134429931641,4.35755865914481,3.931540489196778,2.1389820100224917,unlabeled,unlabeled,
"{'osm_id': 360856292, 'osm_type': 'yes'}",cuddalore_bld_000042,8,8,100.0,-6.898585319519043,-3.8944265842437744,3.0041589736938477,3.0532050132751465,1.6223951485906667,-11.73301601409912,-9.871201515197754,1.8618144989013672,2.304328441619873,1.839603888279009,unlabeled,unlabeled,
"{'osm_id': 360856293, 'osm_type': 'yes'}",cuddalore_bld_000043,8,8,100.0,7.565176486968994,4.44774866104126,-3.1174283027648926,-2.7588257789611816,2.261752524832716,-4.950519561767578,-7.561777114868164,-2.611257791519165,-3.192293405532837,1.767257101261881,unlabeled,unlabeled,
"{'osm_id': 360856294, 'osm_type': 'yes'}",cuddalore_bld_000044,4,4,100.0,-4.9852776527404785,-1.3597681522369385,3.625509262084961,4.369148254394531,2.963482232188343,-11.981834411621094,-10.842207908630373,1.1396262645721436,1.3255324363708496,1.7142105016902898,unlabeled,unlabeled,
"{'osm_id': 360856295, 'osm_type': 'yes'}",cuddalore_bld_000045,10,10,100.0,-8.881744384765625,-8.276180267333984,0.6055632114410401,0.6086091995239258,2.3599463345234866,-16.421910095214844,-15.300360107421875,1.1215489387512207,2.800483226776123,4.430726366699289,unlabeled,unlabeled,
"{'osm_id': 360856296, 'osm_type': 'yes'}",cuddalore_bld_000046,6,6,100.0,-8.342626571655273,-0.1971455415089925,8.145480473836264,8.516609191894531,2.3298436813811363,-11.06570053100586,-9.249272028605144,1.816428820292155,1.7693674564361572,3.6819441513621656,unlabeled,unlabeled,
"{'osm_id': 360856297, 'osm_type': 'yes'}",cuddalore_bld_000047,8,8,100.0,-0.3851616978645324,-0.5102801322937012,-0.1251183748245239,-0.2280013561248779,4.031845077017379,-10.190521240234377,-10.869710922241213,-0.679189920425415,0.1825094223022461,3.5952402985471443,unlabeled,unlabeled,
"{'osm_id': 360856298, 'osm_type': 'yes'}",cuddalore_bld_000048,5,5,100.0,-8.519654083251954,-6.524302673339844,1.9953510284423828,1.7958736419677734,2.2682766759521473,-14.730308532714844,-12.040232849121091,2.690076446533203,2.329941749572754,1.4607574786215194,unlabeled,unlabeled,
"{'osm_id': 360856299, 'osm_type': 'office'}",cuddalore_bld_000049,8,8,100.0,-2.2295639514923096,0.3554591834545135,2.5850231647491455,1.998079776763916,1.622140165613702,-7.613068103790283,-9.89900016784668,-2.2859325408935547,-2.555009603500366,1.600021299517732,unlabeled,unlabeled,
"{'osm_id': 360856300, 'osm_type': 'yes'}",cuddalore_bld_000050,4,4,100.0,-0.5732302665710449,4.617110729217529,5.190341949462891,4.649395942687988,2.0041537537530187,-6.621094703674316,-4.867148399353027,1.7539465427398682,3.6248996257781982,5.541384164570118,unlabeled,unlabeled,
"{'osm_id': 360856301, 'osm_type': 'yes'}",cuddalore_bld_000051,10,10,100.0,-0.7984489440917969,-1.4928492546081542,-0.6944003582000733,-0.5429149866104126,2.3571556053254716,-9.122919464111328,-10.952031707763672,-1.8291118621826172,-1.969632148742676,2.216212981598131,unlabeled,unlabeled,
"{'osm_id': 360856302, 'osm_type': 'yes'}",cuddalore_bld_000052,7,7,100.0,-1.4556410653250558,5.787022726876395,7.242663792201451,6.151719093322754,3.58155184585063,-0.8094070979527065,-0.4042235783168247,0.4051835877554757,-0.0557694435119628,3.273390564918964,unlabeled,unlabeled,
"{'osm_id': 360856303, 'osm_type': 'yes'}",cuddalore_bld_000053,7,7,100.0,-5.941250392368862,-6.271267482212612,-0.3300173282623291,-1.3533210754394531,3.0268719875274073,-13.443518502371653,-10.865300859723773,2.578216552734375,2.8032140731811523,3.114137636578492,unlabeled,unlabeled,
"{'osm_id': 360856304, 'osm_type': 'yes'}",cuddalore_bld_000054,6,6,100.0,-6.205996195475261,-3.16231918334961,3.043677012125651,2.812138319015503,3.351276078434798,-11.128326416015623,-9.673994064331056,1.4543317159016926,1.2201013565063477,3.915853439617876,unlabeled,unlabeled,
"{'osm_id': 360856305, 'osm_type': 'yes'}",cuddalore_bld_000055,10,10,100.0,-5.865518569946289,-2.547934913635254,3.3175830841064453,2.588870048522949,2.7834612234645677,-13.542117309570312,-11.979472351074218,1.5626441955566406,1.9521169662475584,2.646925788377011,unlabeled,unlabeled,
"{'osm_id': 360856306, 'osm_type': 'yes'}",cuddalore_bld_000056,12,12,100.0,-7.131432851155599,-6.128984451293945,1.0024495124816897,1.7345967292785645,3.682344285280849,-10.081550598144531,-11.176734924316406,-1.0951838493347168,-0.966097354888916,2.200832106105986,unlabeled,unlabeled,
"{'osm_id': 360856307, 'osm_type': 'yes'}",cuddalore_bld_000057,9,9,100.0,-5.583210839165582,-1.5308378007676866,4.052372402615017,3.733875274658203,4.579720189105861,-12.624837239583334,-9.038190205891928,3.5866461859809027,3.574983596801758,4.260733699598273,unlabeled,unlabeled,
"{'osm_id': 360860973, 'osm_type': 'yes'}",cuddalore_bld_000058,4,4,100.0,-2.0935325622558594,-1.5024771690368652,0.5910555124282837,1.2893520593643188,2.352722730399902,-13.748979568481444,-11.428163528442385,2.320815324783325,2.632763385772705,1.4846101560900933,unlabeled,unlabeled,
"{'osm_id': 360860977, 'osm_type': 'yes'}",cuddalore_bld_000059,5,5,100.0,-0.1250409126281738,0.673698902130127,0.7987398147583008,0.3195228576660156,2.5018905856082427,-14.205746459960938,-13.818011474609374,0.3877344131469726,-1.249985694885254,2.534360892353654,unlabeled,unlabeled,
"{'osm_id': 360860981, 'osm_type': 'yes'}",cuddalore_bld_000060,4,4,100.0,-5.904083251953125,-4.157279014587402,1.7468039989471436,1.951797604560852,0.9831985437754917,-15.047911643981934,-10.788684844970703,4.2592267990112305,2.7061119079589844,4.332129527161881,unlabeled,unlabeled,
"{'osm_id': 360860990, 'osm_type': 'yes'}",cuddalore_bld_000061,5,5,100.0,-4.674441146850586,-3.990008544921875,0.6844326972961425,-0.0884733200073242,1.7467478144443194,-12.17184371948242,-13.490321350097656,-1.3184776306152344,-1.214385986328125,3.663732592547394,unlabeled,unlabeled,
"{'osm_id': 360860995, 'osm_type': 'yes'}",cuddalore_bld_000062,2,2,100.0,-1.8611655235290527,-5.257143497467041,-3.3959779739379883,-3.3959779739379883,2.9167518615722656,-16.017696380615234,-7.901938438415527,8.115758895874023,8.115758895874023,2.643461227416992,unlabeled,unlabeled,
"{'osm_id': 360860997, 'osm_type': 'yes'}",cuddalore_bld_000063,7,7,100.0,-4.961835588727679,-5.115022386823382,-0.153186593736921,1.1129355430603027,3.3560891662959,-13.466445922851562,-16.373988560267858,-2.907543182373047,-2.6236743927001953,1.8670303716735208,unlabeled,unlabeled,
"{'osm_id': 360860998, 'osm_type': 'yes'}",cuddalore_bld_000064,5,5,100.0,-2.8340789794921877,0.8890768051147461,3.723155975341797,3.225164890289306,1.1750313534414023,-13.954502868652344,-10.482760620117189,3.4717430114746093,3.1928138732910156,2.4073263865791414,unlabeled,unlabeled,
"{'osm_id': 360861001, 'osm_type': 'yes'}",cuddalore_bld_000065,5,5,100.0,-3.8502647399902346,-4.1559700012207035,-0.3057050704956054,-0.8409795761108398,1.3856198130734128,-14.809310913085938,-13.511273193359376,1.2980365753173828,0.1324110031127929,3.1914332879109613,unlabeled,unlabeled,
"{'osm_id': 360861007, 'osm_type': 'yes'}",cuddalore_bld_000066,6,6,100.0,-6.472897211710612,-5.722390492757161,0.7505065600077311,-0.6210325956344604,2.7383209665417225,-13.216695149739584,-11.086051940917969,2.130643049875895,2.94869327545166,2.646177019397504,unlabeled,unlabeled,
"{'osm_id': 360861012, 'osm_type': 'yes'}",cuddalore_bld_000067,4,4,100.0,-4.508363723754883,-1.563797116279602,2.9445667266845703,3.3636863231658936,2.428080377333373,-14.481203079223633,-11.756990432739258,2.724212884902954,2.855138778686523,2.7726510924708094,unlabeled,unlabeled,
"{'osm_id': 360861016, 'osm_type': 'yes'}",cuddalore_bld_000068,2,2,100.0,-6.522109031677246,-4.420454025268555,2.1016550064086914,2.1016550064086914,0.1073536872863769,-14.028762817382812,-9.118770599365234,4.909992694854736,4.909992694854736,4.28656530380249,unlabeled,unlabeled,
"{'osm_id': 360861018, 'osm_type': 'yes'}",cuddalore_bld_000069,4,4,100.0,-3.0597240924835205,-5.749028205871582,-2.6893041133880615,-3.08178186416626,2.170662274639745,-12.857873916625977,-16.795982360839844,-3.9381086826324463,-3.9100780487060542,0.9845620395714516,unlabeled,unlabeled,
"{'osm_id': 360861024, 'osm_type': 'yes'}",cuddalore_bld_000070,4,4,100.0,-1.5417613983154297,-2.645139694213867,-1.1033782958984375,-1.396857976913452,0.7807188068010292,-12.61716079711914,-10.786646842956545,1.8305139541625977,0.9976825714111328,1.9930431396663657,unlabeled,unlabeled,
"{'osm_id': 360861027, 'osm_type': 'yes'}",cuddalore_bld_000071,2,2,100.0,-7.74139404296875,-5.537137985229492,2.2042558193206787,2.2042558193206787,0.6408164501190186,-16.160200119018555,-9.65061378479004,6.509586811065674,6.509586811065674,4.913332462310791,unlabeled,unlabeled,
"{'osm_id': 360861029, 'osm_type': 'yes'}",cuddalore_bld_000072,2,2,100.0,-1.6014432907104492,-2.3415355682373047,-0.7400921583175659,-0.7400921583175659,0.1401401758193969,-11.14914321899414,-9.238832473754885,1.910311222076416,1.910311222076416,0.5050864219665527,unlabeled,unlabeled,
"{'osm_id': 360861032, 'osm_type': 'yes'}",cuddalore_bld_000073,4,4,100.0,-3.187039852142334,-3.47310471534729,-0.2860652804374695,-0.4901057481765747,0.6051720695084049,-11.443376541137695,-9.229838371276855,2.213538408279419,2.1092796325683594,0.6885624072646779,unlabeled,unlabeled,
"{'osm_id': 360861034, 'osm_type': 'yes'}",cuddalore_bld_000074,4,4,100.0,-2.8848085403442383,0.4833498001098633,3.3681585788726807,3.216050386428833,1.0509741809804312,-9.658302307128906,-7.364739894866943,2.2935631275177,2.3279643058776855,0.4285804566171347,unlabeled,unlabeled,
"{'osm_id': 360861035, 'osm_type': 'yes'}",cuddalore_bld_000075,2,2,100.0,-5.285110950469971,-2.5395820140838623,2.7455289363861084,2.7455289363861084,0.6808037757873535,-12.379888534545898,-10.308795928955078,2.071092128753662,2.071092128753662,0.3990988731384277,unlabeled,unlabeled,
"{'osm_id': 360861040, 'osm_type': 'yes'}",cuddalore_bld_000076,4,4,100.0,-9.161565780639648,-4.39111328125,4.770452499389648,4.225306510925293,2.9276010082035167,-14.831494331359863,-11.336101531982422,3.495391845703125,2.7679872512817383,1.8956238910147123,unlabeled,unlabeled,
"{'osm_id': 360861047, 'osm_type': 'yes'}",cuddalore_bld_000077,5,5,100.0,-5.4200183868408205,-2.0755374908447264,3.34448127746582,3.875897884368897,1.111623524024851,-13.7849365234375,-10.949481201171874,2.835455322265625,2.7940826416015625,1.4227607855361597,unlabeled,unlabeled,
"{'osm_id': 360861050, 'osm_type': 'yes'}",cuddalore_bld_000078,4,4,100.0,-4.2835588455200195,-0.4159494042396545,3.86760926246643,3.576906204223633,1.4476712106973957,-12.03013038635254,-9.7320556640625,2.2980763912200928,2.281041145324707,0.7145253940692394,unlabeled,unlabeled,
"{'osm_id': 360861052, 'osm_type': 'yes'}",cuddalore_bld_000079,2,2,100.0,1.8688498735427856,5.571213722229004,3.702364206314087,3.702364206314087,1.2734439373016355,-4.051661014556885,-1.619724988937378,2.431936025619507,2.431936025619507,0.2461986541748047,unlabeled,unlabeled,
"{'osm_id': 360861054, 'osm_type': 'yes'}",cuddalore_bld_000080,7,7,100.0,-0.1346338135855538,3.5684520176478793,3.7030857631138394,3.5583176612854004,1.866078048077884,-13.049552917480469,-11.744929722377233,1.3046233313424247,1.1543083190917969,1.9258909917924023,unlabeled,unlabeled,
"{'osm_id': 360861061, 'osm_type': 'yes'}",cuddalore_bld_000081,1,1,100.0,-3.704728841781616,0.0227510184049606,3.727479934692383,3.727479934692383,0.0,-12.799778938293455,-9.678706169128418,3.121072769165039,3.121072769165039,0.0,unlabeled,unlabeled,
"{'osm_id': 402157066, 'osm_type': 'temple'}",cuddalore_bld_000082,12,12,100.0,-8.104349772135416,-5.427834192911784,2.676515579223633,2.955784320831299,2.9583418958158143,-16.300498962402344,-18.718987782796223,-2.418485800425211,0.0869803428649902,7.098163136415599,unlabeled,unlabeled,
"{'osm_id': 430751630, 'osm_type': 'yes'}",cuddalore_bld_000083,7,7,100.0,-5.958524976457868,-5.145283290318081,0.8132414136614118,1.1882805824279783,2.301118414206664,-12.481408255440847,-12.903800964355469,-0.4223936625889369,-0.7952795028686523,4.3573312015335475,unlabeled,unlabeled,
"{'osm_id': 430751632, 'osm_type': 'yes'}",cuddalore_bld_000084,4,4,100.0,-7.429823398590088,-5.957056522369385,1.4727668762207031,1.1476109027862549,1.4010336321561438,-13.208934783935549,-12.05160903930664,1.1573259830474854,0.968857765197754,1.1136327136451538,unlabeled,unlabeled,
"{'osm_id': 430751635, 'osm_type': 'yes'}",cuddalore_bld_000085,4,4,100.0,0.9104580879211426,5.919565677642822,5.00910758972168,3.267828941345215,3.1848186928650204,-6.760244369506836,-5.697783470153809,1.0624604225158691,1.1533969640731812,2.0964857368781025,unlabeled,unlabeled,
"{'osm_id': 430751636, 'osm_type': 'yes'}",cuddalore_bld_000086,4,4,100.0,-5.536342620849609,-4.075846195220947,1.4604969024658203,1.405559539794922,0.8690742508121511,-11.331475257873535,-10.470870018005373,0.860605001449585,0.4821557998657226,0.8924509008856859,unlabeled,unlabeled,
"{'osm_id': 430751638, 'osm_type': 'yes'}",cuddalore_bld_000087,4,4,100.0,4.470394611358643,2.140064239501953,-2.3303303718566895,-1.739899516105652,1.5327934944405806,-11.343859672546388,-8.43320369720459,2.910656452178955,2.826503276824951,0.6551903028842843,unlabeled,unlabeled,
"{'osm_id': 430751639, 'osm_type': 'yes'}",cuddalore_bld_000088,6,6,100.0,-6.1227372487386065,-4.793845812479655,1.3288912773132324,1.93526291847229,2.4773747758181064,-15.53115971883138,-14.735548655192057,0.7956118583679199,0.2477612495422363,3.8404571857562178,unlabeled,unlabeled,
"{'osm_id': 430751640, 'osm_type': 'yes'}",cuddalore_bld_000089,6,6,100.0,-1.5793490409851074,-0.2185698548952738,1.3607792854309082,1.599356174468994,1.100815248113729,-11.103199005126951,-10.684102376302084,0.419095516204834,-0.0191550254821777,1.3335712899167942,unlabeled,unlabeled,
"{'osm_id': 430751641, 'osm_type': 'yes'}",cuddalore_bld_000090,4,4,100.0,-5.501930236816406,-5.73770809173584,-0.2357776165008545,-0.1602799892425537,0.2859804756631612,-13.159799575805664,-12.988899230957031,0.1709017753601074,-0.6051483154296875,1.4341016972856424,unlabeled,unlabeled,
"{'osm_id': 430751642, 'osm_type': 'yes'}",cuddalore_bld_000091,4,4,100.0,-7.359227657318115,-5.228405952453613,2.130821704864502,2.0915586948394775,0.8854965850757411,-13.858957290649414,-12.57662582397461,1.2823312282562256,1.3002591133117676,0.989606752285958,unlabeled,unlabeled,
"{'osm_id': 430754182, 'osm_type': 'yes'}",cuddalore_bld_000092,6,6,100.0,3.1686693827311196,4.0382184982299805,0.869549036026001,1.0221643447875977,2.1020587044664265,-12.56235122680664,-13.930805206298828,-1.3684528668721516,-1.548933982849121,2.2590640954843524,unlabeled,unlabeled,
