sample_id,xbd_uid,disaster,disaster_type,peril,damage_label,damage_class,split,s1_pre_path,s1_post_path,s2_pre_path,s2_post_path,building_mask_path,geometry
xbd_bld_200385,nepal-flooding_00000410,nepal-flooding,flooding,flood,intact,0,test,data/xbd_s12/s1/nepal-flooding_00000410_pre_disaster_s1.tif,data/xbd_s12/s1/nepal-flooding_00000410_post_disaster_s1.tif,data/xbd_s12/s2/nepal-flooding_00000410_pre_disaster_s2.tif,data/xbd_s12/s2/nepal-flooding_00000410_post_disaster_s2.tif,data/phase6/masks/nepal-flooding_00000410_mask_sim.npy,"POLYGON ((83.40394130611637 26.595170944209787, 83.40394130611637 26.595370944209787, 83.40374130611636 26.595370944209787, 83.40374130611636 26.595170944209787, 83.40394130611637 26.595170944209787))"
xbd_bld_074218,hurricane-michael_00000063,hurricane-michael,wind,storm,destroyed,2,train,data/xbd_s12/s1/hurricane-michael_00000063_pre_disaster_s1.tif,data/xbd_s12/s1/hurricane-michael_00000063_post_disaster_s1.tif,data/xbd_s12/s2/hurricane-michael_00000063_pre_disaster_s2.tif,data/xbd_s12/s2/hurricane-michael_00000063_post_disaster_s2.tif,data/phase6/masks/hurricane-michael_00000063_mask_sim.npy,"POLYGON ((-85.62586893750934 30.189927094430743, -85.62586893750934 30.190127094430743, -85.62606893750934 30.190127094430743, -85.62606893750934 30.189927094430743, -85.62586893750934 30.189927094430743))"
xbd_bld_081341,hurricane-michael_00000185,hurricane-michael,wind,storm,damaged,1,test,data/xbd_s12/s1/hurricane-michael_00000185_pre_disaster_s1.tif,data/xbd_s12/s1/hurricane-michael_00000185_post_disaster_s1.tif,data/xbd_s12/s2/hurricane-michael_00000185_pre_disaster_s2.tif,data/xbd_s12/s2/hurricane-michael_00000185_post_disaster_s2.tif,data/phase6/masks/hurricane-michael_00000185_mask_sim.npy,"POLYGON ((-85.66504596477193 30.159877623497735, -85.66504596477193 30.160077623497735, -85.66524596477194 30.160077623497735, -85.66524596477194 30.159877623497735, -85.66504596477193 30.159877623497735))"
xbd_bld_080505,hurricane-michael_00000173,hurricane-michael,wind,storm,damaged,1,test,data/xbd_s12/s1/hurricane-michael_00000173_pre_disaster_s1.tif,data/xbd_s12/s1/hurricane-michael_00000173_post_disaster_s1.tif,data/xbd_s12/s2/hurricane-michael_00000173_pre_disaster_s2.tif,data/xbd_s12/s2/hurricane-michael_00000173_post_disaster_s2.tif,data/phase6/masks/hurricane-michael_00000173_mask_sim.npy,"POLYGON ((-85.63775602728575 30.20144080011612, -85.63775602728575 30.20164080011612, -85.63795602728575 30.20164080011612, -85.63795602728575 30.20144080011612, -85.63775602728575 30.20144080011612))"
xbd_bld_206611,nepal-flooding_00000479,nepal-flooding,flooding,flood,intact,0,val,data/xbd_s12/s1/nepal-flooding_00000479_pre_disaster_s1.tif,data/xbd_s12/s1/nepal-flooding_00000479_post_disaster_s1.tif,data/xbd_s12/s2/nepal-flooding_00000479_pre_disaster_s2.tif,data/xbd_s12/s2/nepal-flooding_00000479_post_disaster_s2.tif,data/phase6/masks/nepal-flooding_00000479_mask_sim.npy,"POLYGON ((83.35215950477789 26.66684494488396, 83.35215950477789 26.66704494488396, 83.35195950477788 26.66704494488396, 83.35195950477788 26.66684494488396, 83.35215950477789 26.66684494488396))"
xbd_bld_074535,hurricane-michael_00000069,hurricane-michael,wind,storm,damaged,1,train,data/xbd_s12/s1/hurricane-michael_00000069_pre_disaster_s1.tif,data/xbd_s12/s1/hurricane-michael_00000069_post_disaster_s1.tif,data/xbd_s12/s2/hurricane-michael_00000069_pre_disaster_s2.tif,data/xbd_s12/s2/hurricane-michael_00000069_post_disaster_s2.tif,data/phase6/masks/hurricane-michael_00000069_mask_sim.npy,"POLYGON ((-85.63389156568246 30.197663787953566, -85.63389156568246 30.197863787953565, -85.63409156568247 30.197863787953565, -85.63409156568247 30.197663787953566, -85.63389156568246 30.197663787953566))"
xbd_bld_201374,nepal-flooding_00000418,nepal-flooding,flooding,flood,intact,0,test,data/xbd_s12/s1/nepal-flooding_00000418_pre_disaster_s1.tif,data/xbd_s12/s1/nepal-flooding_00000418_post_disaster_s1.tif,data/xbd_s12/s2/nepal-flooding_00000418_pre_disaster_s2.tif,data/xbd_s12/s2/nepal-flooding_00000418_post_disaster_s2.tif,data/phase6/masks/nepal-flooding_00000418_mask_sim.npy,"POLYGON ((83.37739713355458 26.718665716303136, 83.37739713355458 26.718865716303135, 83.37719713355457 26.718865716303135, 83.37719713355457 26.718665716303136, 83.37739713355458 26.718665716303136))"
xbd_bld_093312,hurricane-michael_00000367,hurricane-michael,wind,storm,destroyed,2,test,data/xbd_s12/s1/hurricane-michael_00000367_pre_disaster_s1.tif,data/xbd_s12/s1/hurricane-michael_00000367_post_disaster_s1.tif,data/xbd_s12/s2/hurricane-michael_00000367_pre_disaster_s2.tif,data/xbd_s12/s2/hurricane-michael_00000367_post_disaster_s2.tif,data/phase6/masks/hurricane-michael_00000367_mask_sim.npy,"POLYGON ((-85.61177378299361 30.307385928650703, -85.61177378299361 30.307585928650703, -85.61197378299362 30.307585928650703, -85.61197378299362 30.307385928650703, -85.61177378299361 30.307385928650703))"
xbd_bld_071212,hurricane-matthew_00000396,hurricane-matthew,wind,storm,destroyed,2,train,data/xbd_s12/s1/hurricane-matthew_00000396_pre_disaster_s1.tif,data/xbd_s12/s1/hurricane-matthew_00000396_post_disaster_s1.tif,data/xbd_s12/s2/hurricane-matthew_00000396_pre_disaster_s2.tif,data/xbd_s12/s2/hurricane-matthew_00000396_post_disaster_s2.tif,data/phase6/masks/hurricane-matthew_00000396_mask_sim.npy,"POLYGON ((-74.10090972311319 18.258391063281717, -74.10090972311319 18.258591063281717, -74.1011097231132 18.258591063281717, -74.1011097231132 18.258391063281717, -74.10090972311319 18.258391063281717))"
xbd_bld_067107,hurricane-matthew_00000316,hurricane-matthew,wind,storm,destroyed,2,test,data/xbd_s12/s1/hurricane-matthew_00000316_pre_disaster_s1.tif,data/xbd_s12/s1/hurricane-matthew_00000316_post_disaster_s1.tif,data/xbd_s12/s2/hurricane-matthew_00000316_pre_disaster_s2.tif,data/xbd_s12/s2/hurricane-matthew_00000316_post_disaster_s2.tif,data/phase6/masks/hurricane-matthew_00000316_mask_sim.npy,"POLYGON ((-74.15324672006004 18.55297837769035, -74.15324672006004 18.55317837769035, -74.15344672006005 18.55317837769035, -74.15344672006005 18.55297837769035, -74.15324672006004 18.55297837769035))"
xbd_bld_092416,hurricane-michael_00000351,hurricane-michael,wind,storm,destroyed,2,test,data/xbd_s12/s1/hurricane-michael_00000351_pre_disaster_s1.tif,data/xbd_s12/s1/hurricane-michael_00000351_post_disaster_s1.tif,data/xbd_s12/s2/hurricane-michael_00000351_pre_disaster_s2.tif,data/xbd_s12/s2/hurricane-michael_00000351_post_disaster_s2.tif,data/phase6/masks/hurricane-michael_00000351_mask_sim.npy,"POLYGON ((-85.64119261160029 30.291477328575205, -85.64119261160029 30.291677328575204, -85.6413926116003 30.291677328575204, -85.6413926116003 30.291477328575205, -85.64119261160029 30.291477328575205))"
xbd_bld_199349,nepal-flooding_00000400,nepal-flooding,flooding,flood,intact,0,val,data/xbd_s12/s1/nepal-flooding_00000400_pre_disaster_s1.tif,data/xbd_s12/s1/nepal-flooding_00000400_post_disaster_s1.tif,data/xbd_s12/s2/nepal-flooding_00000400_pre_disaster_s2.tif,data/xbd_s12/s2/nepal-flooding_00000400_post_disaster_s2.tif,data/phase6/masks/nepal-flooding_00000400_mask_sim.npy,"POLYGON ((83.40236239508074 26.5923640827099, 83.40236239508074 26.5925640827099, 83.40216239508074 26.5925640827099, 83.40216239508074 26.5923640827099, 83.40236239508074 26.5923640827099))"
xbd_bld_077517,hurricane-michael_00000127,hurricane-michael,wind,storm,damaged,1,train,data/xbd_s12/s1/hurricane-michael_00000127_pre_disaster_s1.tif,data/xbd_s12/s1/hurricane-michael_00000127_post_disaster_s1.tif,data/xbd_s12/s2/hurricane-michael_00000127_pre_disaster_s2.tif,data/xbd_s12/s2/hurricane-michael_00000127_post_disaster_s2.tif,data/phase6/masks/hurricane-michael_00000127_mask_sim.npy,"POLYGON ((-85.62609127425358 30.179351038444686, -85.62609127425358 30.179551038444686, -85.62629127425359 30.179551038444686, -85.62629127425359 30.179351038444686, -85.62609127425358 30.179351038444686))"
xbd_bld_083221,hurricane-michael_00000206,hurricane-michael,wind,storm,destroyed,2,train,data/xbd_s12/s1/hurricane-michael_00000206_pre_disaster_s1.tif,data/xbd_s12/s1/hurricane-michael_00000206_post_disaster_s1.tif,data/xbd_s12/s2/hurricane-michael_00000206_pre_disaster_s2.tif,data/xbd_s12/s2/hurricane-michael_00000206_post_disaster_s2.tif,data/phase6/masks/hurricane-michael_00000206_mask_sim.npy,"POLYGON ((-85.66315903278272 30.169451295338504, -85.66315903278272 30.169651295338504, -85.66335903278272 30.169651295338504, -85.66335903278272 30.169451295338504, -85.66315903278272 30.169451295338504))"
xbd_bld_081108,hurricane-michael_00000181,hurricane-michael,wind,storm,damaged,1,train,data/xbd_s12/s1/hurricane-michael_00000181_pre_disaster_s1.tif,data/xbd_s12/s1/hurricane-michael_00000181_post_disaster_s1.tif,data/xbd_s12/s2/hurricane-michael_00000181_pre_disaster_s2.tif,data/xbd_s12/s2/hurricane-michael_00000181_post_disaster_s2.tif,data/phase6/masks/hurricane-michael_00000181_mask_sim.npy,"POLYGON ((-85.64880336314133 30.221334237061402, -85.64880336314133 30.2215342370614, -85.64900336314133 30.2215342370614, -85.64900336314133 30.221334237061402, -85.64880336314133 30.221334237061402))"
xbd_bld_093848,hurricane-michael_00000378,hurricane-michael,wind,storm,destroyed,2,train,data/xbd_s12/s1/hurricane-michael_00000378_pre_disaster_s1.tif,data/xbd_s12/s1/hurricane-michael_00000378_post_disaster_s1.tif,data/xbd_s12/s2/hurricane-michael_00000378_pre_disaster_s2.tif,data/xbd_s12/s2/hurricane-michael_00000378_post_disaster_s2.tif,data/phase6/masks/hurricane-michael_00000378_mask_sim.npy,"POLYGON ((-85.65589487683354 30.284639586646033, -85.65589487683354 30.284839586646033, -85.65609487683355 30.284839586646033, -85.65609487683355 30.284639586646033, -85.65589487683354 30.284639586646033))"
xbd_bld_199254,nepal-flooding_00000400,nepal-flooding,flooding,flood,intact,0,val,data/xbd_s12/s1/nepal-flooding_00000400_pre_disaster_s1.tif,data/xbd_s12/s1/nepal-flooding_00000400_post_disaster_s1.tif,data/xbd_s12/s2/nepal-flooding_00000400_pre_disaster_s2.tif,data/xbd_s12/s2/nepal-flooding_00000400_post_disaster_s2.tif,data/phase6/masks/nepal-flooding_00000400_mask_sim.npy,"POLYGON ((83.39877494394554 26.592799935224818, 83.39877494394554 26.592999935224817, 83.39857494394553 26.592999935224817, 83.39857494394553 26.592799935224818, 83.39877494394554 26.592799935224818))"
xbd_bld_070797,hurricane-matthew_00000383,hurricane-matthew,wind,storm,destroyed,2,train,data/xbd_s12/s1/hurricane-matthew_00000383_pre_disaster_s1.tif,data/xbd_s12/s1/hurricane-matthew_00000383_post_disaster_s1.tif,data/xbd_s12/s2/hurricane-matthew_00000383_pre_disaster_s2.tif,data/xbd_s12/s2/hurricane-matthew_00000383_post_disaster_s2.tif,data/phase6/masks/hurricane-matthew_00000383_mask_sim.npy,"POLYGON ((-74.09661321979648 18.269840202442676, -74.09661321979648 18.270040202442676, -74.09681321979649 18.270040202442676, -74.09681321979649 18.269840202442676, -74.09661321979648 18.269840202442676))"
xbd_bld_072891,hurricane-michael_00000040,hurricane-michael,wind,storm,damaged,1,train,data/xbd_s12/s1/hurricane-michael_00000040_pre_disaster_s1.tif,data/xbd_s12/s1/hurricane-michael_00000040_post_disaster_s1.tif,data/xbd_s12/s2/hurricane-michael_00000040_pre_disaster_s2.tif,data/xbd_s12/s2/hurricane-michael_00000040_post_disaster_s2.tif,data/phase6/masks/hurricane-michael_00000040_mask_sim.npy,"POLYGON ((-85.64065770288178 30.189201344402857, -85.64065770288178 30.189401344402857, -85.64085770288179 30.189401344402857, -85.64085770288179 30.189201344402857, -85.64065770288178 30.189201344402857))"
xbd_bld_095195,hurricane-michael_00000408,hurricane-michael,wind,storm,destroyed,2,train,data/xbd_s12/s1/hurricane-michael_00000408_pre_disaster_s1.tif,data/xbd_s12/s1/hurricane-michael_00000408_post_disaster_s1.tif,data/xbd_s12/s2/hurricane-michael_00000408_pre_disaster_s2.tif,data/xbd_s12/s2/hurricane-michael_00000408_post_disaster_s2.tif,data/phase6/masks/hurricane-michael_00000408_mask_sim.npy,"POLYGON ((-85.66059668144027 30.251009811028066, -85.66059668144027 30.251209811028065, -85.66079668144027 30.251209811028065, -85.66079668144027 30.251009811028066, -85.66059668144027 30.251009811028066))"
xbd_bld_201643,nepal-flooding_00000418,nepal-flooding,flooding,flood,intact,0,test,data/xbd_s12/s1/nepal-flooding_00000418_pre_disaster_s1.tif,data/xbd_s12/s1/nepal-flooding_00000418_post_disaster_s1.tif,data/xbd_s12/s2/nepal-flooding_00000418_pre_disaster_s2.tif,data/xbd_s12/s2/nepal-flooding_00000418_post_disaster_s2.tif,data/phase6/masks/nepal-flooding_00000418_mask_sim.npy,"POLYGON ((83.37612581841795 26.718130703429033, 83.37612581841795 26.718330703429032, 83.37592581841794 26.718330703429032, 83.37592581841794 26.718130703429033, 83.37612581841795 26.718130703429033))"
xbd_bld_200848,nepal-flooding_00000412,nepal-flooding,flooding,flood,intact,0,train,data/xbd_s12/s1/nepal-flooding_00000412_pre_disaster_s1.tif,data/xbd_s12/s1/nepal-flooding_00000412_post_disaster_s1.tif,data/xbd_s12/s2/nepal-flooding_00000412_pre_disaster_s2.tif,data/xbd_s12/s2/nepal-flooding_00000412_post_disaster_s2.tif,data/phase6/masks/nepal-flooding_00000412_mask_sim.npy,"POLYGON ((83.3727914784261 26.716577254386138, 83.3727914784261 26.716777254386137, 83.37259147842609 26.716777254386137, 83.37259147842609 26.716577254386138, 83.3727914784261 26.716577254386138))"
xbd_bld_077557,hurricane-michael_00000127,hurricane-michael,wind,storm,damaged,1,train,data/xbd_s12/s1/hurricane-michael_00000127_pre_disaster_s1.tif,data/xbd_s12/s1/hurricane-michael_00000127_post_disaster_s1.tif,data/xbd_s12/s2/hurricane-michael_00000127_pre_disaster_s2.tif,data/xbd_s12/s2/hurricane-michael_00000127_post_disaster_s2.tif,data/phase6/masks/hurricane-michael_00000127_mask_sim.npy,"POLYGON ((-85.62895296943012 30.18036024157899, -85.62895296943012 30.18056024157899, -85.62915296943012 30.18056024157899, -85.62915296943012 30.18036024157899, -85.62895296943012 30.18036024157899))"
xbd_bld_081110,hurricane-michael_00000181,hurricane-michael,wind,storm,damaged,1,train,data/xbd_s12/s1/hurricane-michael_00000181_pre_disaster_s1.tif,data/xbd_s12/s1/hurricane-michael_00000181_post_disaster_s1.tif,data/xbd_s12/s2/hurricane-michael_00000181_pre_disaster_s2.tif,data/xbd_s12/s2/hurricane-michael_00000181_post_disaster_s2.tif,data/phase6/masks/hurricane-michael_00000181_mask_sim.npy,"POLYGON ((-85.64809554135154 30.21785362396234, -85.64809554135154 30.21805362396234, -85.64829554135154 30.21805362396234, -85.64829554135154 30.21785362396234, -85.64809554135154 30.21785362396234))"
xbd_bld_070928,hurricane-matthew_00000385,hurricane-matthew,wind,storm,destroyed,2,val,data/xbd_s12/s1/hurricane-matthew_00000385_pre_disaster_s1.tif,data/xbd_s12/s1/hurricane-matthew_00000385_post_disaster_s1.tif,data/xbd_s12/s2/hurricane-matthew_00000385_pre_disaster_s2.tif,data/xbd_s12/s2/hurricane-matthew_00000385_post_disaster_s2.tif,data/phase6/masks/hurricane-matthew_00000385_mask_sim.npy,"POLYGON ((-74.09835915061163 18.259769338417513, -74.09835915061163 18.259969338417513, -74.09855915061164 18.259969338417513, -74.09855915061164 18.259769338417513, -74.09835915061163 18.259769338417513))"
xbd_bld_205981,nepal-flooding_00000474,nepal-flooding,flooding,flood,intact,0,train,data/xbd_s12/s1/nepal-flooding_00000474_pre_disaster_s1.tif,data/xbd_s12/s1/nepal-flooding_00000474_post_disaster_s1.tif,data/xbd_s12/s2/nepal-flooding_00000474_pre_disaster_s2.tif,data/xbd_s12/s2/nepal-flooding_00000474_post_disaster_s2.tif,data/phase6/masks/nepal-flooding_00000474_mask_sim.npy,"POLYGON ((83.40314994379081 26.5875895273486, 83.40314994379081 26.5877895273486, 83.4029499437908 26.5877895273486, 83.4029499437908 26.5875895273486, 83.40314994379081 26.5875895273486))"
xbd_bld_080266,hurricane-michael_00000171,hurricane-michael,wind,storm,damaged,1,train,data/xbd_s12/s1/hurricane-michael_00000171_pre_disaster_s1.tif,data/xbd_s12/s1/hurricane-michael_00000171_post_disaster_s1.tif,data/xbd_s12/s2/hurricane-michael_00000171_pre_disaster_s2.tif,data/xbd_s12/s2/hurricane-michael_00000171_post_disaster_s2.tif,data/phase6/masks/hurricane-michael_00000171_mask_sim.npy,"POLYGON ((-85.64516834981846 30.22659813455251, -85.64516834981846 30.22679813455251, -85.64536834981847 30.22679813455251, -85.64536834981847 30.22659813455251, -85.64516834981846 30.22659813455251))"
xbd_bld_202048,nepal-flooding_00000425,nepal-flooding,flooding,flood,intact,0,train,data/xbd_s12/s1/nepal-flooding_00000425_pre_disaster_s1.tif,data/xbd_s12/s1/nepal-flooding_00000425_post_disaster_s1.tif,data/xbd_s12/s2/nepal-flooding_00000425_pre_disaster_s2.tif,data/xbd_s12/s2/nepal-flooding_00000425_post_disaster_s2.tif,data/phase6/masks/nepal-flooding_00000425_mask_sim.npy,"POLYGON ((83.3886438789437 26.697132986294438, 83.3886438789437 26.697332986294438, 83.38844387894369 26.697332986294438, 83.38844387894369 26.697132986294438, 83.3886438789437 26.697132986294438))"
xbd_bld_206542,nepal-flooding_00000479,nepal-flooding,flooding,flood,intact,0,val,data/xbd_s12/s1/nepal-flooding_00000479_pre_disaster_s1.tif,data/xbd_s12/s1/nepal-flooding_00000479_post_disaster_s1.tif,data/xbd_s12/s2/nepal-flooding_00000479_pre_disaster_s2.tif,data/xbd_s12/s2/nepal-flooding_00000479_post_disaster_s2.tif,data/phase6/masks/nepal-flooding_00000479_mask_sim.npy,"POLYGON ((83.35126238286347 26.666086763628577, 83.35126238286347 26.666286763628577, 83.35106238286346 26.666286763628577, 83.35106238286346 26.666086763628577, 83.35126238286347 26.666086763628577))"
xbd_bld_073150,hurricane-michael_00000042,hurricane-michael,wind,storm,damaged,1,train,data/xbd_s12/s1/hurricane-michael_00000042_pre_disaster_s1.tif,data/xbd_s12/s1/hurricane-michael_00000042_post_disaster_s1.tif,data/xbd_s12/s2/hurricane-michael_00000042_pre_disaster_s2.tif,data/xbd_s12/s2/hurricane-michael_00000042_post_disaster_s2.tif,data/phase6/masks/hurricane-michael_00000042_mask_sim.npy,"POLYGON ((-85.66482832017152 30.232200969292144, -85.66482832017152 30.232400969292144, -85.66502832017153 30.232400969292144, -85.66502832017153 30.232200969292144, -85.66482832017152 30.232200969292144))"
xbd_bld_079553,hurricane-michael_00000159,hurricane-michael,wind,storm,damaged,1,test,data/xbd_s12/s1/hurricane-michael_00000159_pre_disaster_s1.tif,data/xbd_s12/s1/hurricane-michael_00000159_post_disaster_s1.tif,data/xbd_s12/s2/hurricane-michael_00000159_pre_disaster_s2.tif,data/xbd_s12/s2/hurricane-michael_00000159_post_disaster_s2.tif,data/phase6/masks/hurricane-michael_00000159_mask_sim.npy,"POLYGON ((-85.6238329427428 30.170488383611495, -85.6238329427428 30.170688383611495, -85.6240329427428 30.170688383611495, -85.6240329427428 30.170488383611495, -85.6238329427428 30.170488383611495))"
xbd_bld_201549,nepal-flooding_00000418,nepal-flooding,flooding,flood,intact,0,test,data/xbd_s12/s1/nepal-flooding_00000418_pre_disaster_s1.tif,data/xbd_s12/s1/nepal-flooding_00000418_post_disaster_s1.tif,data/xbd_s12/s2/nepal-flooding_00000418_pre_disaster_s2.tif,data/xbd_s12/s2/nepal-flooding_00000418_post_disaster_s2.tif,data/phase6/masks/nepal-flooding_00000418_mask_sim.npy,"POLYGON ((83.37651765530674 26.71550148887262, 83.37651765530674 26.715701488872618, 83.37631765530674 26.715701488872618, 83.37631765530674 26.71550148887262, 83.37651765530674 26.71550148887262))"
xbd_bld_070845,hurricane-matthew_00000385,hurricane-matthew,wind,storm,destroyed,2,val,data/xbd_s12/s1/hurricane-matthew_00000385_pre_disaster_s1.tif,data/xbd_s12/s1/hurricane-matthew_00000385_post_disaster_s1.tif,data/xbd_s12/s2/hurricane-matthew_00000385_pre_disaster_s2.tif,data/xbd_s12/s2/hurricane-matthew_00000385_post_disaster_s2.tif,data/phase6/masks/hurricane-matthew_00000385_mask_sim.npy,"POLYGON ((-74.09711917623889 18.259684367149887, -74.09711917623889 18.259884367149887, -74.0973191762389 18.259884367149887, -74.0973191762389 18.259684367149887, -74.09711917623889 18.259684367149887))"
